name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
LeBron James,Miami Heat,4/18/2012,2011,1966,1610612748,320418014,2,3,36,1,Alley Oop Dunk Shot,2PT Field Goal,0,Toronto Raptors,2,7,,,,,
LeBron James,Cleveland Cavaliers,11/3/2016,2016,1966,1610612739,400899518,3,9,25,1,Alley Oop Dunk Shot,2PT Field Goal,0,Boston Celtics,0,1,0,0,,0,0
LeBron James,Miami Heat,5/3/2012,2011,1966,1610612748,320503018,1,7,38,1,Alley Oop Dunk Shot,2PT Field Goal,2,New York Knicks,21,3,,,,,
LeBron James,Cleveland Cavaliers,3/28/2018,2017,1966,1610612739,400975862,2,6,10,1,Alley Oop Dunk Shot,2PT Field Goal,1,Charlotte Hornets,-15,4,0,0,,0,0
LeBron James,Miami Heat,3/24/2014,2013,1966,1610612748,400489922,2,3,29,1,Alley Oop Dunk Shot,2PT Field Goal,0,Portland Trail Blazers,7,-3,2,3.9,"Lopez, Robin",2.1,9.2
LeBron James,Cleveland Cavaliers,12/20/2015,2015,1966,1610612739,400828292,2,3,2,1,Alley Oop Dunk Shot,2PT Field Goal,0,Philadelphia 76ers,0,1,0,0,"Canaan, Isaiah",1.5,20.5
LeBron James,Miami Heat,3/22/2014,2013,1966,1610612748,400489909,1,2,19,1,Alley Oop Dunk Shot,2PT Field Goal,3,New Orleans Pelicans,-30,-2,2,2.1,"Stiemsma, Greg",3.4,24
LeBron James,Cleveland Cavaliers,5/23/2016,2015,1966,1610612739,400876894,1,7,9,1,Alley Oop Dunk Shot,2PT Field Goal,0,Toronto Raptors,0,1,0,0,,0,0
LeBron James,Miami Heat,3/24/2014,2013,1966,1610612748,400489922,2,4,47,1,Alley Oop Dunk Shot,2PT Field Goal,0,Portland Trail Blazers,1,7,0,0,"Batum, Nicolas",2.5,20.1
LeBron James,Cleveland Cavaliers,3/22/2017,2016,1966,1610612739,400900459,3,5,39,1,Alley Oop Dunk Shot,2PT Field Goal,0,Denver Nuggets,0,1,0,0,,0,0
LeBron James,Miami Heat,3/22/2014,2013,1966,1610612748,400489909,2,3,31,1,Alley Oop Dunk Shot,2PT Field Goal,2,New Orleans Pelicans,21,4,0,0,"Aminu, Al-Farouq",3.9,24
LeBron James,Cleveland Cavaliers,1/13/2017,2016,1966,1610612739,400900020,2,4,3,1,Alley Oop Dunk Shot,2PT Field Goal,0,Sacramento Kings,0,1,0,0,,0,0
LeBron James,Miami Heat,3/24/2014,2013,1966,1610612748,400489922,1,8,38,1,Alley Oop Dunk Shot,2PT Field Goal,0,Portland Trail Blazers,4,4,0,0,"Wright, Dorell",6.8,20.1
LeBron James,Cleveland Cavaliers,3/27/2017,2016,1966,1610612739,400900494,3,7,23,1,Alley Oop Dunk Shot,2PT Field Goal,0,San Antonio Spurs,0,1,0,0,,0,0
LeBron James,Cleveland Cavaliers,6/9/2015,2014,1966,1610612739,400796847,4,4,10,1,Alley Oop Dunk Shot,2PT Field Goal,0,Golden State Warriors,0,1,4,8.5,"Iguodala, Andre",3.2,2.8
