name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
LeBron James,Miami Heat,12/29/2012,2012,1966,1610612748,400278165,2,0,17,1,Driving Layup Shot,2PT Field Goal,1,Milwaukee Bucks,1,14,,,,,
LeBron James,Miami Heat,6/12/2012,2011,1966,1610612748,320612025,2,6,19,1,Driving Layup Shot,2PT Field Goal,1,Oklahoma City Thunder,17,-5,,,,,
LeBron James,Cleveland Cavaliers,11/13/2016,2016,1966,1610612739,400899590,3,9,10,0,Driving Layup Shot,2PT Field Goal,0,Charlotte Hornets,-7,2,0,0,,0,0
LeBron James,Miami Heat,4/28/2012,2011,1966,1610612748,320428014,2,0,3,1,Driving Layup Shot,2PT Field Goal,1,New York Knicks,15,9,,,,,
LeBron James,Miami Heat,12/31/2012,2012,1966,1610612748,400278174,3,0,41,1,Driving Layup Shot,2PT Field Goal,1,Orlando Magic,-11,7,,,,,
LeBron James,Miami Heat,5/11/2011,2010,1966,1610612748,310511014,1,0,48,0,Driving Layup Shot,2PT Field Goal,1,Boston Celtics,17,1,,,,,
LeBron James,Cleveland Cavaliers,6/4/2015,2014,1966,1610612739,400796845,2,0,33,1,Driving Layup Shot,2PT Field Goal,2,Golden State Warriors,20,20,5,5.2,"Thompson, Klay",0.5,18.9
LeBron James,Miami Heat,2/3/2014,2013,1966,1610612748,400489586,1,6,19,1,Driving Layup Shot,2PT Field Goal,2,Detroit Pistons,17,14,2,1.9,"Stuckey, Rodney",2.4,7.6
LeBron James,Cleveland Cavaliers,11/3/2017,2017,1966,1610612739,400974873,4,6,41,1,Driving Layup Shot,2PT Field Goal,0,Washington Wizards,3,8,0,0,,0,0
LeBron James,Cleveland Cavaliers,5/22/2015,2014,1966,1610612739,400796267,1,10,32,1,Driving Layup Shot,2PT Field Goal,0,Atlanta Hawks,-8,1,3,4.7,"Millsap, Paul",4.7,5.4
LeBron James,Cleveland Cavaliers,1/28/2018,2017,1966,1610612739,400975480,4,1,6,1,Driving Layup Shot,2PT Field Goal,0,Detroit Pistons,9,3,0,0,,0,0
LeBron James,Cleveland Cavaliers,5/22/2015,2014,1966,1610612739,400796267,3,0,9,1,Driving Layup Shot,2PT Field Goal,2,Atlanta Hawks,-27,11,17,20.7,"Bazemore, Kent",3.2,4
LeBron James,Cleveland Cavaliers,11/13/2016,2016,1966,1610612739,400899590,1,5,18,0,Driving Layup Shot,2PT Field Goal,1,Charlotte Hornets,14,7,0,0,,0,0
LeBron James,Miami Heat,3/4/2014,2013,1966,1610612748,400489773,2,5,10,1,Driving Layup Shot,2PT Field Goal,2,Houston Rockets,21,11,4,4.2,"Jones, Terrence",3.6,19
LeBron James,Cleveland Cavaliers,12/8/2015,2015,1966,1610612739,400828200,1,11,36,1,Driving Layup Shot,2PT Field Goal,1,Portland Trail Blazers,-4,11,2,3.7,"Plumlee, Mason",1.4,5.1
LeBron James,Miami Heat,2/19/2012,2011,1966,1610612748,320219014,2,1,44,1,Driving Layup Shot,2PT Field Goal,2,Orlando Magic,24,6,,,,,
LeBron James,Miami Heat,12/31/2012,2012,1966,1610612748,400278174,5,1,7,1,Driving Layup Shot,2PT Field Goal,2,Orlando Magic,23,6,,,,,
LeBron James,Miami Heat,6/12/2011,2010,1966,1610612748,310612014,3,1,49,1,Driving Layup Shot,2PT Field Goal,2,Dallas Mavericks,-21,12,,,,,
LeBron James,Miami Heat,3/25/2013,2012,1966,1610612748,400278769,3,3,9,0,Driving Layup Shot,2PT Field Goal,1,Orlando Magic,15,9,,,,,
LeBron James,Cleveland Cavaliers,5/24/2015,2014,1966,1610612739,400796268,3,10,49,1,Driving Layup Shot,2PT Field Goal,0,Atlanta Hawks,2,1,3,4.7,"Carroll, DeMarre",4.6,8.2
LeBron James,Miami Heat,3/25/2013,2012,1966,1610612748,400278769,3,2,29,0,Driving Layup Shot,2PT Field Goal,2,Orlando Magic,12,17,,,,,
LeBron James,Miami Heat,4/16/2011,2010,1966,1610612748,310416014,2,0,55,1,Driving Layup Shot,2PT Field Goal,1,Philadelphia 76ers,-19,4,,,,,
LeBron James,Miami Heat,1/2/2013,2012,1966,1610612748,400278189,1,5,16,1,Driving Layup Shot,2PT Field Goal,1,Dallas Mavericks,13,7,,,,,
LeBron James,Miami Heat,5/10/2013,2012,1966,1610612748,400464359,2,9,24,0,Driving Layup Shot,2PT Field Goal,2,Chicago Bulls,17,14,,,,,
LeBron James,Miami Heat,3/25/2013,2012,1966,1610612748,400278769,3,1,12,1,Driving Layup Shot,2PT Field Goal,1,Orlando Magic,-5,14,,,,,
LeBron James,Cleveland Cavaliers,5/24/2015,2014,1966,1610612739,400796268,2,5,53,1,Driving Layup Shot,2PT Field Goal,0,Atlanta Hawks,-7,3,4,4.3,"Scott, Mike",4.1,5
LeBron James,Miami Heat,1/2/2013,2012,1966,1610612748,400278189,2,2,38,1,Driving Layup Shot,2PT Field Goal,1,Dallas Mavericks,-11,14,,,,,
LeBron James,Cleveland Cavaliers,5/4/2015,2014,1966,1610612739,400793121,2,10,0,1,Driving Layup Shot,2PT Field Goal,1,Chicago Bulls,-7,-11,12,12.8,"Noah, Joakim",1.3,10.7
LeBron James,Miami Heat,3/25/2013,2012,1966,1610612748,400278769,4,6,25,1,Driving Layup Shot,2PT Field Goal,2,Orlando Magic,10,22,,,,,
LeBron James,Miami Heat,10/30/2012,2012,1966,1610612748,400277722,1,1,2,0,Driving Layup Shot,2PT Field Goal,1,Boston Celtics,-8,9,,,,,
LeBron James,Cleveland Cavaliers,11/13/2016,2016,1966,1610612739,400899590,2,3,6,0,Driving Layup Shot,2PT Field Goal,2,Charlotte Hornets,15,16,0,0,,0,0
LeBron James,Cleveland Cavaliers,5/24/2015,2014,1966,1610612739,400796268,1,5,28,0,Driving Layup Shot,2PT Field Goal,1,Atlanta Hawks,-10,7,4,5.5,"Teague, Jeff",3.6,18.1
LeBron James,Cleveland Cavaliers,1/28/2018,2017,1966,1610612739,400975480,4,3,46,1,Driving Layup Shot,2PT Field Goal,0,Detroit Pistons,8,3,0,0,,0,0
LeBron James,Cleveland Cavaliers,10/27/2015,2015,1966,1610612739,400827889,2,8,26,0,Driving Layup Shot,2PT Field Goal,2,Chicago Bulls,-12,21,2,4.5,"Butler, Jimmy",1,15
LeBron James,Miami Heat,1/2/2013,2012,1966,1610612748,400278189,2,1,35,1,Driving Layup Shot,2PT Field Goal,1,Dallas Mavericks,-10,9,,,,,
LeBron James,Cleveland Cavaliers,11/8/2015,2015,1966,1610612739,400827981,1,5,16,0,Driving Layup Shot,2PT Field Goal,1,Indiana Pacers,-17,7,13,13.2,"Mahinmi, Ian",0.8,12.3
LeBron James,Miami Heat,1/2/2013,2012,1966,1610612748,400278189,4,1,5,0,Driving Layup Shot,2PT Field Goal,1,Dallas Mavericks,13,4,,,,,
LeBron James,Miami Heat,5/30/2012,2011,1966,1610612748,320530014,1,0,53,0,Driving Layup Shot,2PT Field Goal,1,Boston Celtics,12,15,,,,,
LeBron James,Cleveland Cavaliers,1/28/2018,2017,1966,1610612739,400975480,1,11,17,1,Driving Layup Shot,2PT Field Goal,0,Detroit Pistons,4,5,0,0,,0,0
LeBron James,Miami Heat,3/30/2012,2011,1966,1610612748,320330028,1,7,5,1,Driving Layup Shot,2PT Field Goal,2,Toronto Raptors,20,6,,,,,
LeBron James,Miami Heat,3/27/2013,2012,1966,1610612748,400278782,1,0,6,0,Driving Layup Shot,2PT Field Goal,1,Chicago Bulls,4,11,,,,,
LeBron James,Miami Heat,5/9/2011,2010,1966,1610612748,310509002,3,0,9,1,Driving Layup Shot,2PT Field Goal,0,Boston Celtics,-4,-8,,,,,
LeBron James,Miami Heat,3/27/2013,2012,1966,1610612748,400278782,2,6,20,1,Driving Layup Shot,2PT Field Goal,2,Chicago Bulls,21,3,,,,,
LeBron James,Miami Heat,2/5/2014,2013,1966,1610612748,400489609,1,4,55,1,Driving Layup Shot,2PT Field Goal,1,Los Angeles Clippers,13,7,3,3.5,"Barnes, Matt",1.4,19.4
LeBron James,Miami Heat,3/27/2013,2012,1966,1610612748,400278782,2,3,11,1,Driving Layup Shot,2PT Field Goal,2,Chicago Bulls,24,14,,,,,
LeBron James,Cleveland Cavaliers,3/3/2015,2014,1966,1610612739,400579183,1,1,11,1,Driving Layup Shot,2PT Field Goal,0,Boston Celtics,-4,1,13,11.7,"Crowder, Jae",1.6,11.5
LeBron James,Miami Heat,1/2/2013,2012,1966,1610612748,400278189,5,0,48,1,Driving Layup Shot,2PT Field Goal,1,Dallas Mavericks,1,11,,,,,
LeBron James,Cleveland Cavaliers,5/26/2015,2014,1966,1610612739,400796269,3,3,49,0,Driving Layup Shot,2PT Field Goal,0,Atlanta Hawks,-7,6,7,6.4,"Millsap, Paul",1.8,15.7
LeBron James,Cleveland Cavaliers,1/12/2018,2017,1966,1610612739,400975365,3,3,29,0,Driving Layup Shot,2PT Field Goal,4,Indiana Pacers,43,11,0,0,,0,0
LeBron James,Cleveland Cavaliers,10/27/2015,2015,1966,1610612739,400827889,2,9,48,0,Driving Layup Shot,2PT Field Goal,2,Chicago Bulls,-22,13,6,5.7,"Moore, E'Twaun",2.8,19
LeBron James,Cleveland Cavaliers,4/15/2018,2017,1966,1610612739,401029417,2,5,21,1,Driving Layup Shot,2PT Field Goal,2,Indiana Pacers,-7,20,0,0,,0,0
LeBron James,Cleveland Cavaliers,5/26/2015,2014,1966,1610612739,400796269,2,7,19,0,Driving Layup Shot,2PT Field Goal,1,Atlanta Hawks,0,11,15,13.2,"Scott, Mike",3,9.6
LeBron James,Cleveland Cavaliers,12/9/2017,2017,1966,1610612739,400975130,2,6,56,0,Driving Layup Shot,2PT Field Goal,3,Philadelphia 76ers,-5,32,0,0,,0,0
LeBron James,Miami Heat,2/11/2014,2013,1966,1610612748,400489647,1,0,4,1,Driving Layup Shot,2PT Field Goal,2,Phoenix Suns,20,-2,14,14.5,"Len, Alex",1.8,0
LeBron James,Miami Heat,3/27/2013,2012,1966,1610612748,400278782,3,0,53,1,Driving Layup Shot,2PT Field Goal,1,Chicago Bulls,0,14,,,,,
LeBron James,Miami Heat,12/10/2010,2010,1966,1610612748,301210009,1,10,32,1,Driving Layup Shot,2PT Field Goal,2,Golden State Warriors,13,20,,,,,
LeBron James,Cleveland Cavaliers,12/9/2017,2017,1966,1610612739,400975130,2,6,20,1,Driving Layup Shot,2PT Field Goal,0,Philadelphia 76ers,8,-1,0,0,,0,0
LeBron James,Cleveland Cavaliers,12/4/2015,2015,1966,1610612739,400828175,4,5,1,1,Driving Layup Shot,2PT Field Goal,0,New Orleans Pelicans,-1,2,6,6.3,"Anderson, Ryan",2.1,2.8
LeBron James,Cleveland Cavaliers,12/15/2015,2015,1966,1610612739,400828254,2,6,2,1,Driving Layup Shot,2PT Field Goal,2,Boston Celtics,24,3,7,6.6,"Turner, Evan",2.9,14.5
LeBron James,Cleveland Cavaliers,3/6/2015,2014,1966,1610612739,400579207,3,8,42,1,Driving Layup Shot,2PT Field Goal,2,Atlanta Hawks,20,0,7,6.8,"Horford, Al",3.1,15.2
LeBron James,Cleveland Cavaliers,12/9/2017,2017,1966,1610612739,400975130,1,7,1,1,Driving Layup Shot,2PT Field Goal,1,Philadelphia 76ers,3,16,0,0,,0,0
LeBron James,Miami Heat,12/13/2010,2010,1966,1610612748,301213014,4,4,26,0,Driving Layup Shot,2PT Field Goal,4,New Orleans Pelicans,36,19,,,,,
LeBron James,Miami Heat,1/6/2013,2012,1966,1610612748,400278220,4,1,50,1,Driving Layup Shot,2PT Field Goal,0,Washington Wizards,-4,9,,,,,
LeBron James,Cleveland Cavaliers,6/4/2015,2014,1966,1610612739,400796845,5,0,9,1,Driving Layup Shot,2PT Field Goal,1,Golden State Warriors,-16,11,6,6.8,"Iguodala, Andre",0.2,0
LeBron James,Miami Heat,3/27/2013,2012,1966,1610612748,400278782,4,0,27,1,Driving Layup Shot,2PT Field Goal,1,Chicago Bulls,-19,0,,,,,
LeBron James,Miami Heat,2/5/2012,2011,1966,1610612748,320205014,1,1,38,1,Driving Layup Shot,2PT Field Goal,1,Toronto Raptors,-16,9,,,,,
LeBron James,Cleveland Cavaliers,12/9/2017,2017,1966,1610612739,400975130,2,2,10,0,Driving Layup Shot,2PT Field Goal,2,Philadelphia 76ers,-22,6,0,0,,0,0
LeBron James,Miami Heat,2/27/2011,2010,1966,1610612748,310227014,2,7,6,1,Driving Layup Shot,2PT Field Goal,2,New York Knicks,-23,17,,,,,
LeBron James,Cleveland Cavaliers,11/13/2016,2016,1966,1610612739,400899590,4,9,19,1,Driving Layup Shot,2PT Field Goal,0,Charlotte Hornets,-7,0,0,0,,0,0
LeBron James,Miami Heat,2/27/2011,2010,1966,1610612748,310227014,1,0,40,1,Driving Layup Shot,2PT Field Goal,2,New York Knicks,23,14,,,,,
LeBron James,Cleveland Cavaliers,5/27/2016,2015,1966,1610612739,400876896,1,0,0,1,Driving Layup Shot,2PT Field Goal,2,Toronto Raptors,-29,2,0,0,,0,0
LeBron James,Cleveland Cavaliers,6/7/2015,2014,1966,1610612739,400796846,1,3,0,1,Driving Layup Shot,2PT Field Goal,1,Golden State Warriors,13,9,0,4,"Ezeli, Festus",1.2,13.6
LeBron James,Cleveland Cavaliers,1/20/2018,2017,1966,1610612739,400975420,2,1,15,1,Driving Layup Shot,2PT Field Goal,1,Oklahoma City Thunder,-12,15,0,0,,0,0
LeBron James,Cleveland Cavaliers,6/7/2015,2014,1966,1610612739,400796846,2,10,55,1,Driving Layup Shot,2PT Field Goal,2,Golden State Warriors,20,20,18,12,"Speights, Marreese",1.3,11.2
LeBron James,Miami Heat,1/10/2013,2012,1966,1610612748,400278249,2,5,23,1,Driving Layup Shot,2PT Field Goal,1,Portland Trail Blazers,12,1,,,,,
LeBron James,Cleveland Cavaliers,6/7/2015,2014,1966,1610612739,400796846,3,3,29,1,Driving Layup Shot,2PT Field Goal,1,Golden State Warriors,-18,3,1,5.9,"Green, Draymond",5.2,4.7
LeBron James,Cleveland Cavaliers,1/20/2018,2017,1966,1610612739,400975420,2,6,17,1,Driving Layup Shot,2PT Field Goal,1,Oklahoma City Thunder,-3,10,0,0,,0,0
LeBron James,Miami Heat,6/18/2013,2012,1966,1610612748,400467338,4,8,23,0,Driving Layup Shot,2PT Field Goal,1,San Antonio Spurs,-5,14,,,,,
LeBron James,Cleveland Cavaliers,1/20/2018,2017,1966,1610612739,400975420,4,8,8,0,Driving Layup Shot,2PT Field Goal,2,Oklahoma City Thunder,-18,17,0,0,,0,0
LeBron James,Miami Heat,5/11/2011,2010,1966,1610612748,310511014,2,2,56,1,Driving Layup Shot,2PT Field Goal,2,Boston Celtics,18,11,,,,,
LeBron James,Miami Heat,1/12/2013,2012,1966,1610612748,400278268,1,1,24,1,Driving Layup Shot,2PT Field Goal,2,Sacramento Kings,-18,15,,,,,
LeBron James,Cleveland Cavaliers,6/9/2015,2014,1966,1610612739,400796847,4,7,10,1,Driving Layup Shot,2PT Field Goal,0,Golden State Warriors,7,3,23,22.5,"Barbosa, Leandro",2.2,0.7
LeBron James,Cleveland Cavaliers,1/20/2018,2017,1966,1610612739,400975420,1,3,4,0,Driving Layup Shot,2PT Field Goal,2,Oklahoma City Thunder,10,21,0,0,,0,0
LeBron James,Cleveland Cavaliers,6/9/2015,2014,1966,1610612739,400796847,2,10,8,1,Driving Layup Shot,2PT Field Goal,0,Golden State Warriors,-5,-2,8,9.9,"Ezeli, Festus",0.8,4
LeBron James,Cleveland Cavaliers,1/20/2018,2017,1966,1610612739,400975420,3,4,18,1,Driving Layup Shot,2PT Field Goal,0,Oklahoma City Thunder,-2,4,0,0,,0,0
LeBron James,Miami Heat,5/11/2011,2010,1966,1610612748,310511014,2,3,50,0,Driving Layup Shot,2PT Field Goal,2,Boston Celtics,-24,9,,,,,
LeBron James,Cleveland Cavaliers,1/12/2018,2017,1966,1610612739,400975365,3,10,5,0,Driving Layup Shot,2PT Field Goal,1,Indiana Pacers,-13,15,0,0,,0,0
LeBron James,Miami Heat,4/28/2012,2011,1966,1610612748,320428014,3,2,3,0,Driving Layup Shot,2PT Field Goal,0,New York Knicks,7,7,,,,,
LeBron James,Miami Heat,1/12/2013,2012,1966,1610612748,400278268,3,6,15,1,Driving Layup Shot,2PT Field Goal,1,Sacramento Kings,0,11,,,,,
LeBron James,Miami Heat,4/28/2012,2011,1966,1610612748,320428014,3,10,7,1,Driving Layup Shot,2PT Field Goal,0,New York Knicks,-7,6,,,,,
LeBron James,Miami Heat,1/14/2013,2012,1966,1610612748,400278281,1,8,18,1,Driving Layup Shot,2PT Field Goal,2,Utah Jazz,-21,6,,,,,
LeBron James,Miami Heat,12/13/2010,2010,1966,1610612748,301213014,1,2,27,1,Driving Layup Shot,2PT Field Goal,2,New Orleans Pelicans,21,11,,,,,
LeBron James,Cleveland Cavaliers,1/3/2018,2017,1966,1610612739,400975305,2,7,4,1,Driving Layup Shot,2PT Field Goal,3,Boston Celtics,-3,31,0,0,,0,0
LeBron James,Miami Heat,12/13/2010,2010,1966,1610612748,301213014,3,5,45,1,Driving Layup Shot,2PT Field Goal,2,New Orleans Pelicans,23,14,,,,,
LeBron James,Cleveland Cavaliers,3/25/2018,2017,1966,1610612739,400975840,3,0,37,1,Driving Layup Shot,2PT Field Goal,0,Brooklyn Nets,9,-1,0,0,,0,0
LeBron James,Miami Heat,4/18/2011,2010,1966,1610612748,310418014,2,11,5,1,Driving Layup Shot,2PT Field Goal,2,Philadelphia 76ers,-15,15,,,,,
LeBron James,Cleveland Cavaliers,3/25/2018,2017,1966,1610612739,400975840,2,4,14,1,Driving Layup Shot,2PT Field Goal,0,Brooklyn Nets,-5,3,0,0,,0,0
LeBron James,Miami Heat,2/27/2011,2010,1966,1610612748,310227014,4,0,7,0,Driving Layup Shot,2PT Field Goal,2,New York Knicks,-21,17,,,,,
LeBron James,Cleveland Cavaliers,3/25/2018,2017,1966,1610612739,400975840,2,5,29,1,Driving Layup Shot,2PT Field Goal,2,Brooklyn Nets,20,20,0,0,,0,0
LeBron James,Cleveland Cavaliers,6/16/2015,2014,1966,1610612739,400796850,1,2,43,0,Driving Layup Shot,2PT Field Goal,1,Golden State Warriors,-11,7,8,7.4,"Iguodala, Andre",3.7,16.8
LeBron James,Cleveland Cavaliers,12/4/2015,2015,1966,1610612739,400828175,4,9,12,1,Driving Layup Shot,2PT Field Goal,1,New Orleans Pelicans,-12,11,4,3.6,"Asik, Omer",2.2,12.3
LeBron James,Cleveland Cavaliers,6/14/2015,2014,1966,1610612739,400796849,1,5,47,1,Driving Layup Shot,2PT Field Goal,1,Golden State Warriors,-2,14,7,8.2,"Green, Draymond",5.6,15.8
LeBron James,Miami Heat,3/29/2013,2012,1966,1610612748,400278800,3,0,42,1,Driving Layup Shot,2PT Field Goal,1,New Orleans Pelicans,-10,12,,,,,
LeBron James,Miami Heat,2/7/2012,2011,1966,1610612748,320207014,1,6,52,0,Driving Layup Shot,2PT Field Goal,1,Cleveland Cavaliers,12,12,,,,,
LeBron James,Cleveland Cavaliers,12/15/2015,2015,1966,1610612739,400828254,1,11,25,0,Driving Layup Shot,2PT Field Goal,2,Boston Celtics,-20,13,2,2.5,"Johnson, Amir",2.7,7.3
LeBron James,Miami Heat,1/29/2014,2013,1966,1610612748,400489548,1,1,3,1,Driving Layup Shot,2PT Field Goal,1,Oklahoma City Thunder,-5,9,8,7.6,"Sefolosha, Thabo",6.2,15.7
LeBron James,Cleveland Cavaliers,1/12/2018,2017,1966,1610612739,400975365,3,3,49,0,Driving Layup Shot,2PT Field Goal,6,Indiana Pacers,-62,12,0,0,,0,0
LeBron James,Cleveland Cavaliers,6/16/2015,2014,1966,1610612739,400796850,3,6,54,1,Driving Layup Shot,2PT Field Goal,0,Golden State Warriors,9,0,9,8.7,"Thompson, Klay",0.8,15.6
LeBron James,Miami Heat,4/6/2013,2012,1966,1610612748,400278860,1,9,14,0,Driving Layup Shot,2PT Field Goal,1,Philadelphia 76ers,2,17,,,,,
LeBron James,Cleveland Cavaliers,6/14/2015,2014,1966,1610612739,400796849,2,6,8,1,Driving Layup Shot,2PT Field Goal,2,Golden State Warriors,-18,23,2,6.2,"Livingston, Shaun",0.1,8.6
LeBron James,Cleveland Cavaliers,1/3/2018,2017,1966,1610612739,400975305,3,0,25,0,Driving Layup Shot,2PT Field Goal,0,Boston Celtics,2,4,0,0,,0,0
LeBron James,Miami Heat,4/24/2011,2010,1966,1610612748,310424020,4,10,32,1,Driving Layup Shot,2PT Field Goal,2,Philadelphia 76ers,-16,15,,,,,
LeBron James,Miami Heat,4/6/2013,2012,1966,1610612748,400278860,1,6,44,1,Driving Layup Shot,2PT Field Goal,1,Philadelphia 76ers,-16,11,,,,,
LeBron James,Miami Heat,6/18/2013,2012,1966,1610612748,400467338,3,5,22,0,Driving Layup Shot,2PT Field Goal,1,San Antonio Spurs,13,7,,,,,
LeBron James,Miami Heat,4/6/2013,2012,1966,1610612748,400278860,1,5,58,1,Driving Layup Shot,2PT Field Goal,3,Philadelphia 76ers,-30,11,,,,,
LeBron James,Cleveland Cavaliers,6/14/2015,2014,1966,1610612739,400796849,1,3,24,1,Driving Layup Shot,2PT Field Goal,2,Golden State Warriors,-7,19,5,5.9,"Iguodala, Andre",1.8,18
LeBron James,Miami Heat,1/17/2013,2012,1966,1610612748,400278303,1,5,54,1,Driving Layup Shot,2PT Field Goal,2,Los Angeles Lakers,-15,14,,,,,
LeBron James,Miami Heat,12/25/2011,2011,1966,1610612748,311225006,3,2,21,1,Driving Layup Shot,2PT Field Goal,3,Dallas Mavericks,-32,6,,,,,
LeBron James,Miami Heat,1/17/2013,2012,1966,1610612748,400278303,1,3,18,1,Driving Layup Shot,2PT Field Goal,3,Los Angeles Lakers,-27,19,,,,,
LeBron James,Miami Heat,2/27/2011,2010,1966,1610612748,310227014,4,3,5,1,Driving Layup Shot,2PT Field Goal,2,New York Knicks,-23,14,,,,,
LeBron James,Miami Heat,1/17/2013,2012,1966,1610612748,400278303,1,2,31,1,Driving Layup Shot,2PT Field Goal,1,Los Angeles Lakers,-11,14,,,,,
LeBron James,Cleveland Cavaliers,6/16/2015,2014,1966,1610612739,400796850,1,4,50,0,Driving Layup Shot,2PT Field Goal,0,Golden State Warriors,6,0,4,4.3,"Green, Draymond",1.1,4.8
LeBron James,Cleveland Cavaliers,1/3/2018,2017,1966,1610612739,400975305,1,5,29,1,Driving Layup Shot,2PT Field Goal,1,Boston Celtics,-10,10,0,0,,0,0
LeBron James,Miami Heat,6/12/2012,2011,1966,1610612748,320612025,3,6,26,1,Driving Layup Shot,2PT Field Goal,2,Oklahoma City Thunder,-21,3,,,,,
LeBron James,Miami Heat,1/17/2013,2012,1966,1610612748,400278303,3,6,4,1,Driving Layup Shot,2PT Field Goal,1,Los Angeles Lakers,-15,4,,,,,
LeBron James,Cleveland Cavaliers,6/16/2015,2014,1966,1610612739,400796850,4,7,8,0,Driving Layup Shot,2PT Field Goal,2,Golden State Warriors,23,3,11,12.9,"Green, Draymond",1.7,11.8
LeBron James,Miami Heat,1/17/2013,2012,1966,1610612748,400278303,3,0,59,1,Driving Layup Shot,2PT Field Goal,2,Los Angeles Lakers,13,19,,,,,
LeBron James,Cleveland Cavaliers,6/16/2015,2014,1966,1610612739,400796850,1,2,20,1,Driving Layup Shot,2PT Field Goal,0,Golden State Warriors,9,-3,6,7.2,"Green, Draymond",1.9,15.1
LeBron James,Cleveland Cavaliers,1/3/2018,2017,1966,1610612739,400975305,1,11,32,1,Driving Layup Shot,2PT Field Goal,6,Boston Celtics,56,41,0,0,,0,0
LeBron James,Miami Heat,3/3/2011,2010,1966,1610612748,310303014,1,6,47,1,Driving Layup Shot,2PT Field Goal,2,Orlando Magic,-24,14,,,,,
LeBron James,Cleveland Cavaliers,1/3/2018,2017,1966,1610612739,400975305,3,2,38,0,Driving Layup Shot,2PT Field Goal,2,Boston Celtics,11,18,0,0,,0,0
LeBron James,Cleveland Cavaliers,6/16/2015,2014,1966,1610612739,400796850,4,0,37,1,Driving Layup Shot,2PT Field Goal,0,Golden State Warriors,7,-3,3,2.9,"Green, Draymond",4.9,14.6
LeBron James,Miami Heat,4/6/2013,2012,1966,1610612748,400278860,4,2,58,1,Driving Layup Shot,2PT Field Goal,1,Philadelphia 76ers,1,14,,,,,
LeBron James,Cleveland Cavaliers,6/16/2015,2014,1966,1610612739,400796850,4,5,46,1,Driving Layup Shot,2PT Field Goal,1,Golden State Warriors,13,6,12,11.7,"Thompson, Klay",3,12.5
LeBron James,Cleveland Cavaliers,5/27/2016,2015,1966,1610612739,400876896,4,9,57,1,Driving Layup Shot,2PT Field Goal,2,Toronto Raptors,-25,7,0,0,,0,0
LeBron James,Cleveland Cavaliers,6/16/2015,2014,1966,1610612739,400796850,4,10,51,1,Driving Layup Shot,2PT Field Goal,0,Golden State Warriors,1,1,5,5.9,"Barnes, Harrison",1.3,18.8
LeBron James,Miami Heat,4/6/2013,2012,1966,1610612748,400278860,4,1,23,0,Driving Layup Shot,2PT Field Goal,1,Philadelphia 76ers,10,6,,,,,
LeBron James,Miami Heat,1/29/2014,2013,1966,1610612748,400489548,2,5,31,1,Driving Layup Shot,2PT Field Goal,2,Oklahoma City Thunder,17,12,8,7.2,"Ibaka, Serge",3.8,17.1
LeBron James,Miami Heat,4/6/2013,2012,1966,1610612748,400278860,4,1,2,1,Driving Layup Shot,2PT Field Goal,1,Philadelphia 76ers,15,3,,,,,
LeBron James,Cleveland Cavaliers,12/4/2015,2015,1966,1610612739,400828175,4,4,31,1,Driving Layup Shot,2PT Field Goal,1,New Orleans Pelicans,14,2,15,12.9,"Davis, Anthony",2.5,9.8
LeBron James,Miami Heat,1/23/2013,2012,1966,1610612748,400278339,1,2,26,1,Driving Layup Shot,2PT Field Goal,0,Toronto Raptors,6,-5,,,,,
LeBron James,Miami Heat,6/12/2012,2011,1966,1610612748,320612025,3,5,54,1,Driving Layup Shot,2PT Field Goal,0,Oklahoma City Thunder,-7,-2,,,,,
LeBron James,Cleveland Cavaliers,1/3/2018,2017,1966,1610612739,400975305,1,7,15,1,Driving Layup Shot,2PT Field Goal,1,Boston Celtics,6,19,0,0,,0,0
LeBron James,Cleveland Cavaliers,11/28/2015,2015,1966,1610612739,400828127,2,1,45,1,Driving Layup Shot,2PT Field Goal,0,Brooklyn Nets,0,7,7,5.1,"Hollis-Jefferson, Rondae",3.2,18.9
LeBron James,Miami Heat,1/23/2013,2012,1966,1610612748,400278339,3,1,8,1,Driving Layup Shot,2PT Field Goal,1,Toronto Raptors,0,11,,,,,
LeBron James,Miami Heat,4/30/2012,2011,1966,1610612748,320430014,1,2,15,1,Driving Layup Shot,2PT Field Goal,0,New York Knicks,4,6,,,,,
LeBron James,Cleveland Cavaliers,12/23/2015,2015,1966,1610612739,400828311,4,5,6,0,Driving Layup Shot,2PT Field Goal,0,New York Knicks,-2,7,20,17.9,"Porzingis, Kristaps",2,24
LeBron James,Cleveland Cavaliers,11/28/2015,2015,1966,1610612739,400828127,2,4,19,0,Driving Layup Shot,2PT Field Goal,1,Brooklyn Nets,-12,-11,11,9.7,"Lopez, Brook",0.7,13.4
LeBron James,Cleveland Cavaliers,2/27/2018,2017,1966,1610612739,400975654,3,8,4,1,Driving Layup Shot,2PT Field Goal,0,Brooklyn Nets,-9,4,0,0,,0,0
LeBron James,Miami Heat,2/7/2012,2011,1966,1610612748,320207014,2,3,58,1,Driving Layup Shot,2PT Field Goal,1,Cleveland Cavaliers,-8,11,,,,,
