slang_code_word,drug,drug2,drug3,,,,,
Devil’s Venom ,Synthetic Cannabinoids ,,,,,,,
Dew ,Marijuana ,,,,,,,
Dexies ,Amphetamine ,,,,,,,
Diablos ,Amphetamine ,,,,,,,
Diamond ,Methamphetamine ,,,,,,,
Diamonds ,Amphetamine, Cocaine ,,,,,,
Dice ,Crack Cocaine ,,,,,,,
Diente ,Cocaine ,,,,,,,
Dienton ,Cocaine ,,,,,,,
Diesel ,Cocaine, Heoin, Marijuana ,,,,,
Diet Coke ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®) ",,,,,,,
Diet Pills ,Amphetamine ,,,,,,,
Dillies ,Hydromorphone (Dilaudid®) ,,,,,,,
Dimba ,Marijuana ,,,,,,,
Dime Special ,Crack Cocaine ,,,,,,,
Dinkie Dow ,Marijuana ,,,,,,,
Diosa Blanca ,Cocaine ,,,,,,,
Diosa Verde ,Marijuana ,,,,,,,
Dipper ,Marijuana Concentrates/Hash Oil, PCP (Phencyclidine) ,,,,,,
Dirt ,Heroin ,,,,,,,
Dirt Grass ,Marijuana ,,,,,,,
Dirty Basing ,Crack Cocaine ,,,,,,,
Dirty Fentanyl ,Crack Cocaine mixed with Fentanyl ,,,,,,,
Disco Biscuits ,Ecstasy/MDMA/Molly ,,,,,,,
Ditch Weed ,Marijuana ,,,,,,,
Dizz ,Marijuana ,,,,,,,
Djamba ,Marijuana ,,,,,,,
Doctor ,Ecstasy/MDMA/Molly ,,,,,,,
Dody ,Marijuana ,,,,,,,
Dog Food ,Heroin ,,,,,,,
Doggie ,Heroin ,,,,,,,
Dojo ,Marijuana ,,,,,,,
Dolls ,Amphetamine ,,,,,,,
Domestic ,Marijuana ,,,,,,,
Domex ,Ecstacy mixed with PCP ,,,,,,,
Dominoes ,Amphetamine ,,,,,,,
Dona Blanca ,Cocaine ,,,,,,,
Dones ,"Hydrocodone (Norco®, Vicodin®, Lorcet®) ",,,,,,,
Donkey ,Ketamine (Ketalar®) ,,,,,,,
Donna Juana ,Marijuana ,,,,,,,
Doobie ,Marijuana ,,,,,,,
Doojee ,Heroin ,,,,,,,
Dope ,Heroin ,,,,,,,
Dopium ,Opium ,,,,,,,
Dorado ,Heroin ,,,,,,,
Dots ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Double Bubble ,Cocaine ,,,,,,,
"Double Cross  
Drivers ",Amphetamine ,,,,,,,
Double Dome ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Double Letters ,Cocaine ,,,,,,,
Double Yoke ,Crack Cocaine ,,,,,,,
Dove ,Cocaine ,,,,,,,
Dover’s Powder ,Opium ,,,,,,,
Down ,Heroin ,,,,,,,
Downtown ,Heroin ,,,,,,,
Downtown Brown ,Marijuana ,,,,,,,
Dr. Feel Good ,Synthetic Cannabinoids ,,,,,,,
Drag Weed ,Marijuana ,,,,,,,
Dragon ,Fentanyl and Fentanyl Derivatives, Heroin ,,,,,,
Dragon Eye ,Synthetic Cannabinoids ,,,,,,,
Dragon’s Breath ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Drank ,Promethazine ,,,,,,,
Dream ,Cocaine ,,,,,,,
Dream Gum ,Opium ,,,,,,,
Dream Stick ,Opium ,,,,,,,
Dreamer ,Morphine ,,,,,,,
Dreams ,Opium ,,,,,,,
Dreck ,Heroin ,,,,,,,
Dro ,"Hydrocodone (Norco®, Vicodin®, Lorcet®)", Hydroponic Marijuana ,,,,,,
Droco ,"Hydrocodone (Norco®, Vicodin®, Lorcet®) ",,,,,,,
Drone ,Synthetic Cathinones ,,,,,,,
Drop ,Ecstasy/MDMA/Molly ,,,,,,,
Droski ,Hydroponic Marijuana ,,,,,,,
Dry High ,Marijuana ,,,,,,,
Dulces ,Amphetamine, Cocaine ,,,,,,
Dummy Dust ,PCP (Phencyclidine) ,,,,,,,
Dunk ,Methamphetamine ,,,,,,,
Duracell ,Cocaine ,,,,,,,
Durazno ,Cocaine ,,,,,,,
Durin ,Crack Cocaine ,,,,,,,
Duro ,Cocaine ,,,,,,,
Dust ,Cocaine, PCP (Phencyclidine) ,,,,,,
Dust Joint ,PCP (Phencyclidine) ,,,,,,,
Dust of Angels ,PCP (Phencyclidine) ,,,,,,,
Dynamite ,Heroin ,,,,,,,
Dyno ,Heroin ,,,,,,,
E ,Ecstasy/MDMA/Molly ,,,,,,,
Ear Wax ,Marijuana Concentrates/Hash Oil ,,,,,,,
Earth Blend ,Synthetic Cannabinoids ,,,,,,,
Easing Powder ,Opium ,,,,,,,
Eastside Player ,Crack Cocaine ,,,,,,,
Easy Lay ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
E-Bomb ,Ecstasy/MDMA/Molly ,,,,,,,
Edibles ,Marijuana Concentrates/Hash Oil ,,,,,,,
Egg  ,Crack Cocaine ,,,,,,,
El Cid ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
El Diablo ,Heroin ,,,,,,,
El Gata Diablo ,Methamphetamine ,,,,,,,
Electric Kool Aid ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Elefante Blanco ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Elefante Pata ,Marijuana ,,,,,,,
Elephant ,PCP (Phencyclidine) ,,,,,,,
"Elephant  
Tranquilizer ",PCP (Phencyclidine) ,,,,,,,
Ellis Day ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Embalming Fluid ,PCP (Phencyclidine) ,,,,,,,
Enail ,Marijuana Concentrates/Hash Oil ,,,,,,,
Endo ,Marijuana ,,,,,,,
Energy-1 ,Synthetic Cathinones ,,,,,,,
Engines ,Heroin ,,,,,,,
Enigizer ,PCP (Phencyclidine) ,,,,,,,
Enrique Grande ,Heroin ,,,,,,,
Ercs ,Acetaminophen and Oxycodone Combination (Percocet®) ,,,,,,,
Errl ,Marijuana Concentrates/Hash Oil ,,,,,,,
Escama ,Cocaine ,,,,,,,
Escoba ,Marijuana ,,,,,,,
Escorpino ,Cocaine ,,,,,,,
Esquina ,Heroin ,,,,,,,
Esquinilla ,Heroin ,,,,,,,
Essence ,Ecstasy/MDMA/Molly ,,,,,,,
Eve ,Ecstasy/MDMA/Molly ,,,,,,,
Everclear ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Evil Sister ,Methamphetamine ,,,,,,,
Exodus ,Synthetic Cannabinoids ,,,,,,,
Explosion ,Synthetic Cathinones ,,,,,,,
Extract ,Marijuana Concentrates/Hash Oil ,,,,,,,
Extreme ,Synthetic Cannabinoids ,,,,,,,
Eye Glasses ,Methamphetamine ,,,,,,,
Eye Opener ,Crack Cocaine ,,,,,,,
F ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Facebook ,Fentanyl mixed with Heroin in pill form ,,,,,,,
Fairy Dust ,Heroin ,,,,,,,
Fake Bake ,Synthetic Cannabinoids ,,,,,,,
Fake STP ,PCP (Phencyclidine) ,,,,,,,
Falopa ,Cocaine ,,,,,,,
Famous Dimes ,Crack Cocaine ,,,,,,,
Fantasy G ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Fat Bags ,Crack Cocaine ,,,,,,,
Fattie ,Marijuana ,,,,,,,
Fef1 ,Cocaine ,,,,,,,
Fent ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Fenty ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Fichas ,Cocaine ,,,,,,,
Fi-Do-Nie ,Opium ,,,,,,,
Fields ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Fiesta ,Cocaine ,,,,,,,
Fifty-One ,Crack Cocaine ,,,,,,,
Fine Stuff ,Marijuana ,,,,,,,
Fire ,Cocaine Base, Fentanyl and Fentanyl Derivatives, Marijuana,,,,,  
First Line ,Morphine ,,,,,,,
Fish ,Liquid Cocaine ,,,,,,,
Fish Scale ,Cocaine ,,,,,,,
Fish Scales ,Crack Cocaine ,,,,,,,
Fives ,Amphetamine ,,,,,,,
Fizz ,Methamphetamine ,,,,,,,
Flake ,Cocaine ,,,,,,,
Flakes ,PCP (Phencyclidine) ,,,,,,,
Flakka ,Synthetic Cathinones - Alpha- PVP ,,,,,,,
Flash ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Flat Blues ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Flea Market Jeans ,Cocaine ,,,,,,,
Flea Powder ,Heroin ,,,,,,,
Florida Snow ,Cocaine ,,,,,,,
Flour ,Amphetamine, Cocaine ,,,,,,
Flower ,Marijuana ,,,,,,,
Flower Tops ,Marijuana ,,,,,,,
Flowers ,Methamphetamine ,,,,,,,
Fluff ,"Hydrocodone (Norco®, Vicodin®, Lorcet®) ",,,,,,,
Fluffy ,Marijuana ,,,,,,,
Foco ,Methamphetamine ,,,,,,,
Food ,Cocaine, Fentanyl and Fentanyl Derivatives, White Heroin,,,,,  
Foolish Powder ,Cocaine, Heroin ,,,,,,
Footballs ,Alprazolam (Xanax®), Amphetamine ,,,,,,
Forget Pill ,Flunitrazepam (Rohypnol®) ,,,,,,,
Fox ,Cocaine ,,,,,,,
Freddy ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Freebase ,Crack Cocaine ,,,,,,,
Freeze ,Cocaine ,,,,,,,
French Blues ,Amphetamine ,,,,,,,
French Fries ,Crack Cocaine ,,,,,,,
Friend ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Frio ,Methamphetamine ,,,,,,,
Friskie Powder ,Cocaine ,,,,,,,
Fruit  ,Methamphetamine ,,,,,,,
Fruit Candy Flavors ,Synthetic Cannabinoids ,,,,,,,
Frula ,Cocaine ,,,,,,,
Fuf ,Furanyl Fentanyl ,,,,,,,
Full Melt ,Marijuana Concentrates/Hash Oil ,,,,,,,
Funky Buddha ,Synthetic Cannabinoids ,,,,,,,
Funky Monkey ,Synthetic Cannabinoids ,,,,,,,
Funtime ,Cocaine ,,,,,,,
Fuzzy Lady ,Marijuana ,,,,,,,
Gabacho ,Cocaine ,,,,,,,
Gak ,Methamphetamine ,,,,,,,
Galaxy ,Cocaine ,,,,,,,
Gallina ,Marijuana ,,,,,,,
Gallito ,Marijuana ,,,,,,,
Galloping Horse ,Heroin ,,,,,,,
Gallos ,Cocaine ,,,,,,,
Gamma Oh ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Gamot ,Heroin ,,,,,,,
Gangster ,Marijuana ,,,,,,,
Ganja ,Marijuana ,,,,,,,
Garbage ,Methamphetamine ,,,,,,,
Garbage Rock ,Crack Cocaine ,,,,,,,
Garden ,Marijuana ,,,,,,,
Garden Salad  ,Synthetic Cannabinoids ,,,,,,,
Garifa ,Marijuana ,,,,,,,
Gash ,Marijuana ,,,,,,,
Gato ,Cocaine, Heroin, Marijuana ,,,,,
Gauge ,Marijuana ,,,,,,,
Gear ,Steroids ,,,,,,,
Gee ,Opium ,,,,,,,
GEEB ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Geek ,Crack Cocaine ,,,,,,,
Geeked Up ,Amphetamine ,,,,,,,
Genie ,Synthetic Cannabinoids ,,,,,,,
George Smack ,Heroin ,,,,,,,
Georgia Home Boy ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
G-Force ,Synthetic Cannabinoids ,,,,,,,
G-Funk ,Methamphetamine ,,,,,,,
Ghana ,Marijuana ,,,,,,,
Ghost  ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
GI Joe ,Synthetic Cannabinoids ,,,,,,,
Gift of the Sun ,Cocaine ,,,,,,,
Gifts ,Methamphetamine ,,,,,,,
Giggle Smoke ,Marijuana ,,,,,,,
Giggle Weed ,Marijuana ,,,,,,,
Gigi ,Hydroponic Marijuana ,,,,,,,
Gin ,Cocaine ,,,,,,,
Gina ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Girl ,Cocaine, Fentanyl and Fentanyl Derivatives, Heroin ,,,,,
Girl Scout Cookies ,Hydroponic Marijuana ,,,,,,,
Girlfriend ,Cocaine ,,,,,,,
Girls ,Methamphetamine ,,,,,,,
Glad Stuff ,Cocaine ,,,,,,,
Glass ,Methamphetamine ,,,,,,,
Glo ,Crack Cocaine ,,,,,,,
Glob ,Marijuana Concentrates/Hash Oil ,,,,,,,
Globo ,Balloon of Heroin ,,,,,,,
Gloria ,Marijuana ,,,,,,,
Go ,Ecstasy/MDMA/Molly ,,,,,,,
Goat ,Heroin ,,,,,,,
God’s Drug ,Morphine ,,,,,,,
God’s Flesh ,Psilocybin Mushrooms ,,,,,,,
God’s Medicine ,Opium ,,,,,,,
Go-Fast ,Methamphetamine ,,,,,,,
Go-Go ,Methamphetamine ,,,,,,,
Gold ,Crack Cocaine, Marijuana ,,,,,,
Gold Dust ,Cocaine ,,,,,,,
Gold Leaf ,Marijuana ,,,,,,,
Gold Star ,Marijuana ,,,,,,,
Golden Dragon ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Golden Girl ,Heroin ,,,,,,,
Golf Ball ,Crack Cocaine ,,,,,,,
Golf Balls ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Goma ,Heroin, Opium ,,,,,,
Gondola ,Opium ,,,,,,,
Gong ,Marijuana ,,,,,,,
Good and Plenty ,Heroin ,,,,,,,
Good Giggles ,Marijuana ,,,,,,,
Good H ,Heroin ,,,,,,,
Goodfella ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Goofball ,Heroin mixed with Methamphetamine ,,,,,,,
Goofballs ,Amphetamine ,,,,,,,
Goofy ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Goog ,Ecstasy/MDMA/Molly ,,,,,,,
Goon ,PCP (Phencyclidine) ,,,,,,,
Goop ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Gorda ,Heroin ,,,,,,,
Goric ,Opium ,,,,,,,
Gorilla ,Marijuana ,,,,,,,
Gorilla Glue ,Marijuana, Marijuana Concentrates/Hash Oil ,,,,,,
Gorilla Tab ,PCP (Phencyclidine) ,,,,,,,
Gorrilla Biscuits ,PCP (Phencyclidine) ,,,,,,,
Gota  ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Grand Daddy Purp ,Marijuana ,,,,,,,
Grape Parfait ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Gras ,Heroin ,,,,,,,
Grasin ,Heroin ,,,,,,,
Grass ,Marijuana ,,,,,,,
Grasshopper ,Marijuana ,,,,,,,
Gravel ,Crack Cocaine, Synthetic Cathinones - Alpha- PVP ,,,,,,
Gravy ,Heroin ,,,,,,,
Gray Stuff ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Great Bear ,Fentanyl and Fentanyl Derivatives ,,,,,,,
"Great Hormones at  
Bedtime ",GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Great Tobacco ,Opium ,,,,,,,
Great White Hope ,Crack Cocaine ,,,,,,,
Green ,Ketamine (Ketalar®), Marijuana ,,,,,,
Green Apple ,Ecstasy/MDMA/Molly ,,,,,,,
Green Button ,Mescaline/Peyote ,,,,,,,
Green Crack ,Marijuana ,,,,,,,
Green Dream ,Synthetic Cannabinoids ,,,,,,,
Green Eyes ,Marijuana ,,,,,,,
Green Goblin ,Marijuana ,,,,,,,
Green Goddess ,Marijuana ,,,,,,,
Green Gold ,Cocaine ,,,,,,,
Green K ,Ketamine (Ketalar®) ,,,,,,,
Green Leaves ,PCP (Phencyclidine) ,,,,,,,
"Green Mercedes  
Benz ",Marijuana ,,,,,,,
Green Paint ,Marijuana ,,,,,,,
Green Peace ,Synthetic Cannabinoids ,,,,,,,
Green Skunk ,Marijuana ,,,,,,,
Green Tea ,PCP (Phencyclidine) ,,,,,,,
Green Wedge ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Green-Eyed Girl ,Marijuana ,,,,,,,
Greenhouse ,Marijuana ,,,,,,,
Greenies ,Acetaminophen and Oxycodone Combination (Percocet®), Amphetamine ,,,,,,
Greens ,"Oxycodone (Oxycontin®, Roxicodone®, Oxaydo®) ",,,,,,,
Grenuda ,Marijuana ,,,,,,,
Greta ,Marijuana ,,,,,,,
Grey Shields ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
"Grievous Bodily  
Harm ",GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
G-Riffic ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Gringa ,Cocaine ,,,,,,,
Gringito ,Cocaine ,,,,,,,
Grit ,Crack Cocaine ,,,,,,,
Groceries ,Crack Cocaine, Methamphetamine ,,,,,,
Grout ,Cocaine ,,,,,,,
Guardada ,Marijuana ,,,,,,,
Guerillo ,Cocaine ,,,,,,,
Gueros ,Cocaine ,,,,,,,
Guitar ,Cocaine ,,,,,,,
Gum ,Heroin, Opium ,,,,,,
Guma ,Opium ,,,,,,,
Gummy Bears ,Marijuana ,,,,,,,
Gunga ,Marijuana ,,,,,,,
Gym Candy ,Steroids ,,,,,,,
H ,Heroin ,,,,,,,
H1 ,Cocaine ,,,,,,,
Hai ,Cocaine ,,,,,,,
Hail ,Crack Cocaine ,,,,,,,
Hairy ,Heroin ,,,,,,,
Hairy Ones ,Marijuana ,,,,,,,
Half Moon ,Mescaline/Peyote ,,,,,,,
Hamburger ,Cocaine ,,,,,,,
Hamburger Helper ,Crack Cocaine ,,,,,,,
Hammer Head ,Synthetic Cannabinoids ,,,,,,,
Handlebars ,Alprazolam (Xanax®) ,,,,,,,
Happy Dust ,Cocaine ,,,,,,,
Happy Pill ,Ecstasy/MDMA/Molly ,,,,,,,
Happy Powder ,Cocaine ,,,,,,,
Happy Trails ,Cocaine ,,,,,,,
Hard ,Crack Cocaine ,,,,,,,
Hard Candy ,Heroin ,,,,,,,
Hard Ones ,Methamphetamine ,,,,,,,
Hardy One ,Heroin ,,,,,,,
Hare ,Methamphetamine ,,,,,,,
Harry ,Heroin ,,,,,,,
Hash ,Marijuana ,,,,,,,
Hats ,Heroin, LSD (Lysergic Acid Diethylamide) ,,,,,,
Hawaiian   ,Marijuana ,,,,,,,
Hawaiian Salt ,Methamphetamine ,,,,,,,
Hawaiian Sunshine ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Hawk ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Hay ,Marijuana ,,,,,,,
Haze ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Hazel ,Heroin ,,,,,,,
H-Caps ,Heroin ,,,,,,,
Head Drugs ,Amphetamine ,,,,,,,
Headlights ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Heady ,Marijuana Concentrates/Hash Oil ,,,,,,,
Hearts ,Amphetamine ,,,,,,,
Heaven ,Cocaine ,,,,,,,
Heaven and Hell ,PCP (Phencyclidine) ,,,,,,,
Heaven Dust ,Cocaine, Heroin ,,,,,,
Heavenly Blue ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Heavy ,Heroin ,,,,,,,
Heavy One ,Cocaine ,,,,,,,
Heineken ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Helen ,Heroin ,,,,,,,
Helicopter ,Heroin ,,,,,,,
Helix ,Synthetic Cannabinoids ,,,,,,,
Hell Dust ,Heroin ,,,,,,,
He-Man ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Hemp ,Marijuana ,,,,,,,
Hen ,Cocaine ,,,,,,,
Henry ,Heroin ,,,,,,,
Henry VIII ,Cocaine ,,,,,,,
Herb ,Marijuana ,,,,,,,
Hercules ,Heroin ,,,,,,,
Hero ,Heroin ,,,,,,,
HH ,Cocaine ,,,,,,,
HHJ ,Cocaine ,,,,,,,
Hielo ,Methamphetamine ,,,,,,,
Hierba ,Marijuana ,,,,,,,
High Heat ,Cocaine ,,,,,,,
Hikori ,Mescaline/Peyote ,,,,,,,
Hikuli ,Mescaline/Peyote ,,,,,,,
Hillbilly Heroin ,Acetaminophen and Oxycodone Combination (Percocet®), Oxycodone  ,,,,,,
Him ,Heroin ,,,,,,,
Hiopon ,Methamphetamine ,,,,,,,
Hipster ,Synthetic Cannabinoids ,,,,,,,
Hit ,Cocaine ,,,,,,,
Hits ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
HMH ,Cocaine ,,,,,,,
Hocus ,Opium ,,,,,,,
Hog ,PCP (Phencyclidine) ,,,,,,,
Hoja ,Marijuana ,,,,,,,
Holy Grail ,Marijuana ,,,,,,,
Hombre ,Heroin ,,,,,,,
Homegrown ,Marijuana ,,,,,,,
Honey Oil ,Ketamine (Ketalar®), Marijuana Concentrates/Hash Oil ,,,,,,
Hongos ,Psilocybin Mushrooms ,,,,,,,
Hooch ,Marijuana ,,,,,,,
Hops ,Opium ,,,,,,,
Horse ,Heroin ,,,,,,,
Horse Heads ,Amphetamine ,,,,,,,
Horse Tracks ,PCP (Phencyclidine) ,,,,,,,
Horse Tranquilizers ,PCP (Phencyclidine) ,,,,,,,
Hot Dope ,Heroin ,,,,,,,
Hot Ice ,Methamphetamine ,,,,,,,
Hotcakes ,Crack Cocaine ,,,,,,,
Hubba ,Crack Cocaine ,,,,,,,
Hubbers ,Methamphetamine ,,,,,,,
Huera ,Heroin ,,,,,,,
Huerfanito ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Hug ,Ecstasy/MDMA/Molly ,,,,,,,
Hug Drug ,Ecstasy/MDMA/Molly ,,,,,,,
Hulk ,Alprazolam (Xanax®) ,,,,,,,
Huma ,Marijuana ,,,,,,,
Humid ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Hummers ,Heroin ,,,,,,,
Hyatari ,Mescaline/Peyote ,,,,,,,
Hydro ,Marijuana ,,,,,,,
Hydros ,"Hydrocodone (Norco®, Vicodin®, Lorcet®) ",,,,,,,
Hysteria ,Synthetic Cannabinoids ,,,,,,,
Ice ,Crack Cocaine, Methamphetamine ,,,,,,
Ice Cream ,Methamphetamine ,,,,,,,
Ice Cubes ,Crack Cocaine ,,,,,,,
Ice Dragon ,Synthetic Cannabinoids ,,,,,,,
Ice Water    ,Methamphetamine ,,,,,,,
Ice Water Hash ,Marijuana Concentrates/Hash Oil ,,,,,,,
Icehead ,Methamphetamine ,,,,,,,
Idiot Pills ,"Hydrocodone (Norco®, Vicodin®, Lorcet®) ",,,,,,,
In-Betweens ,Amphetamine ,,,,,,,
Incense ,Opium ,,,,,,,
Indian Boy ,Marijuana ,,,,,,,
Indian Hay ,Marijuana ,,,,,,,
Insect Repellent  ,Synthetic Cathinones ,,,,,,,
Instant Zen ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Issues ,Crack Cocaine ,,,,,,,
Ivory Wave ,Synthetic Cathinones ,,,,,,,
IWE ,Marijuana Concentrates/Hash Oil ,,,,,,,
Jackpot ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Jale ,Methamphetamine ,,,,,,,
Jamaican Gold ,Marijuana ,,,,,,,
Jamaican Red ,Marijuana ,,,,,,,
Jelly ,Cocaine ,,,,,,,
Jelly Babies ,Amphetamine ,,,,,,,
Jelly Beans ,Amphetamine, Crack Cocaine ,,,,,,
Jesus Christ Acid ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Jet ,Ketamine (Ketalar®) ,,,,,,,
Jet Fuel ,PCP (Phencyclidine) ,,,,,,,
Jet K ,Ketamine (Ketalar®) ,,,,,,,
Jewelry Cleaner ,Synthetic Cathinones ,,,,,,,
Jib ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Jif ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®) ",,,,,,,
Jive ,Marijuana ,,,,,,,
John Deere ,Cocaine ,,,,,,,
Johnny ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®) ",,,,,,,
Johnson ,Crack Cocaine ,,,,,,,
Jojee ,Heroin ,,,,,,,
Joker ,Synthetic Cannabinoids ,,,,,,,
Jolly Beans ,Amphetamine ,,,,,,,
Jolly Green ,Marijuana ,,,,,,,
Jon-Jem ,Marijuana ,,,,,,,
Joy Flakes ,Cocaine, Heroin ,,,,,,
Joy Juice ,Morphine ,,,,,,,
Joy Plant ,Opium ,,,,,,,
Joy Powder ,Cocaine, Heroin ,,,,,,
Joy Smoke ,Marijuana ,,,,,,,
Juan Valdez ,Marijuana ,,,,,,,
Juanita ,Marijuana ,,,,,,,
Jug of Water ,Methamphetamine ,,,,,,,
Jugs ,Amphetamine ,,,,,,,
Juguetes ,Cocaine ,,,,,,,
Juice ,PCP (Phencyclidine), Promethazine, Steroids ,,,,,
Juicy Leaf ,Synthetic Cannabinoids ,,,,,,,
Jump Rope ,Cocaine ,,,,,,,
Jungle Juice ,Marijuana, Synthetic Cannabinoids ,,,,,,
Junk ,Cocaine, Heroin ,,,,,,
Just Chill ,Synthetic Cannabinoids ,,,,,,,
K ,Clonazepam (Klonopin®), Ketamine (Ketalar®) ,,,,,,
K13 ,Cocaine ,,,,,,,
K2 ,Synthetic Cannabinoids ,,,,,,,
K4 ,Hydromorphone (Dilaudid®) ,,,,,,,
Kabayo ,Heroin ,,,,,,,
Kaff ,Marijuana ,,,,,,,
Kaleidoscope ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Kali ,Marijuana ,,,,,,,
Kangaroo ,Crack Cocaine ,,,,,,,
Kaos ,Synthetic Cannabinoids ,,,,,,,
Kaps ,PCP (Phencyclidine) ,,,,,,,
Karachi ,Heroin ,,,,,,,
Karate ,Heroin ,,,,,,,
Karma ,Synthetic Cannabinoids ,,,,,,,
Kat ,Khat ,,,,,,,
Kaya ,Marijuana ,,,,,,,
KB ,Marijuana ,,,,,,,
K-Blast ,PCP (Phencyclidine) ,,,,,,,
Keller ,Ketamine (Ketalar®) ,,,,,,,
Kelly’s Day ,Ketamine (Ketalar®) ,,,,,,,
Kentucky Blue ,Marijuana ,,,,,,,
KGB ,Marijuana ,,,,,,,
Khalifa ,Marijuana ,,,,,,,
K-Hold ,Ketamine (Ketalar®) ,,,,,,,
Kibbles and Bits ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®) ",,,,,,,
Kickers ,Acetaminophen and Oxycodone Combination (Percocet®), Oxycodone  ,,,,,,
Kiddie Cocaine ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®) ",,,,,,,
Kiddie Coke ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®) ",,,,,,,
Kiff ,Marijuana ,,,,,,,
Killa ,Marijuana ,,,,,,,
Killer ,PCP (Phencyclidine) ,,,,,,,
Killers ,"Oxycodone (Oxycontin®, Roxicodone®, Oxaydo®) ",,,,,,,
Kilter ,Marijuana ,,,,,,,
King Ivory ,Fentanyl and Fentanyl Derivatives ,,,,,,,
King Louie ,Marijuana ,,,,,,,
King’s Habit ,Cocaine ,,,,,,,
King’s Tickets ,Heroin ,,,,,,,
Kit Kat ,Ketamine (Ketalar®) ,,,,,,,
Kitty Flip ,Ketamine (Ketalar®) ,,,,,,,
Klear ,Marijuana Concentrates/Hash Oil ,,,,,,,
Kleenex ,Ecstasy/MDMA/Molly ,,,,,,,
Knoa Gold ,Marijuana ,,,,,,,
Kokoma ,Crack Cocaine ,,,,,,,
Kong ,Synthetic Cannabinoids ,,,,,,,
Kools ,PCP (Phencyclidine) ,,,,,,,
Kordell ,Cocaine ,,,,,,,
K-Pin ,Clonazepam (Klonopin®) ,,,,,,,
Krazy Kandy ,Synthetic Cannabinoids ,,,,,,,
Kryp2nite ,Synthetic Cannabinoids ,,,,,,,
Kryptonite ,Crack Cocaine ,,,,,,,
Kumba ,Marijuana ,,,,,,,
Kush ,Marijuana, Synthetic Cannabinoids ,,,,,,
K-Ways ,Ketamine (Ketalar®) ,,,,,,,
L.A. Glass ,Methamphetamine ,,,,,,,
L.A. Ice ,Methamphetamine ,,,,,,,
L7 ,Alprazolam (Xanax®) ,,,,,,,
La Familia ,Cocaine ,,,,,,,
La Rocha ,Flunitrazepam (Rohypnol®) ,,,,,,,
