slang_code_word,drug,drug2,drug3,,,,,
Bath Salts ,Synthetic Cathinones ,,,,,,,
Battery Acid ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Batu ,Methamphetamine ,,,,,,,
Bazooka ,Cocaine paste mixed with Marijuana, Crack Cocaine ,,,,,,
B-Bombs ,Amphetamine ,,,,,,,
BC Budd ,Marijuana ,,,,,,,
Beach ,Cocaine ,,,,,,,
Beam Me Up ,Crack Cocaine ,,,,,,,
Beans ,Amphetamine, Ecstasy/MDMA/Molly," Oxycodone (Oxycontin®,  ",,,,,
Beast ,Heroin, LSD (Lysergic Acid Diethylamide) ,,,,,,
Beautiful Boulders ,Crack Cocaine ,,,,,,,
Beemer ,Crack Cocaine ,,,,,,,
Beers ,Methamphetamine ,,,,,,,
Begok ,Methamphetamine ,,,,,,,
Belushi ,Cocaine mixed with Heroin ,,,,,,,
Bennies ,Amphetamine ,,,,,,,
Benzos ,Alprazolam (Xanax®), Amphetamine, Clonazepam (Klonopin®) ,,,,,
Bernice ,Cocaine ,,,,,,,
Bernie ,Marijuana ,,,,,,,
Bernie’s flakes ,Cocaine ,,,,,,,
Bernie’s Gold Dust ,Cocaine ,,,,,,,
Beyonce ,Heroin ,,,,,,,
Bhang ,Marijuana ,,,,,,,
BHNO ,Marijuana Concentrates/Hash Oil ,,,,,,,
BHO ,Marijuana Concentrates/Hash Oil ,,,,,,,
Bicycle Handle Bars ,Alprazolam (Xanax®) ,,,,,,,
Bicycle Parts ,Alprazolam (Xanax®) ,,,,,,,
Big Bag ,Heroin ,,,,,,,
Big Bang ,Synthetic Cannabinoids ,,,,,,,
Big Bird ,Cocaine ,,,,,,,
Big Bloke ,Cocaine ,,,,,,,
Big C ,Cocaine ,,,,,,,
Big Chief ,Mescaline/Peyote ,,,,,,,
Big D ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Big Flake ,Cocaine ,,,,,,,
Big H ,Heroin ,,,,,,,
Big Harry ,Heroin ,,,,,,,
Big O ,Opium ,,,,,,,
Big Pillows ,Marijuana ,,,,,,,
Big Rush ,Cocaine ,,,,,,,
Biggy ,Marijuana ,,,,,,,
Biker’s Coffee ,Methamphetamine ,,,,,,,
Bill Blass ,Crack Cocaine ,,,,,,,
Billie Hoke ,Cocaine ,,,,,,,
Bings ,Crack Cocaine ,,,,,,,
Bionic ,Marijuana mixed with PCP ,,,,,,,
Bird ,Cocaine, Heroin ,,,,,,
Birdie Powder ,Cocaine, Heroin ,,,,,,
Birria ,Fentanyl Mixed with Heroin, Heroin ,,,,,,
Birria Blanca ,Heroin ,,,,,,,
BJ ,Crack Cocaine ,,,,,,,
Black ,Heroin, Opium ,,,,,,
Black Acid ,LSD mixed with PCP ,,,,,,,
Black and Whites ,Amphetamine ,,,,,,,
Black Bart ,Marijuana ,,,,,,,
Black Beauties ,Amphetamine ,,,,,,,
Black Birds ,Amphetamine ,,,,,,,
Black Bitch ,Heroin ,,,,,,,
Black Bombers ,Amphetamine ,,,,,,,
Black Button ,Mescaline/Peyote ,,,,,,,
Black Glass ,Marijuana Concentrates/Hash Oil ,,,,,,,
Black Goat ,Heroin ,,,,,,,
Black Gold ,Marijuana ,,,,,,,
Black Magic Smoke ,Synthetic Cannabinoids ,,,,,,,
Black Mamba ,Synthetic Cannabinoids ,,,,,,,
Black Maria ,Marijuana ,,,,,,,
Black Mollies ,Amphetamine ,,,,,,,
Black Olive ,Heroin ,,,,,,,
Black Paint ,Heroin ,,,,,,,
Black Pearl ,Heroin ,,,,,,,
Black Pill ,Opium ,,,,,,,
Black Rock ,Crack Cocaine ,,,,,,,
Black Russian ,Opium mixed with Hashish ,,,,,,,
Black Sheep ,Heroin ,,,,,,,
Black Shirt ,Heroin ,,,,,,,
Black Star ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Black Sunshine ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Black Tabs ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Black Tar ,Heroin ,,,,,,,
Black Whack ,PCP (Phencyclidine) ,,,,,,,
Blacks ,Amphetamine ,,,,,,,
Blanca Nieves ,Cocaine ,,,,,,,
Blanco ,Cocaine, Heroin ,,,,,,
Blanco de España ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Blast ,Cocaine ,,,,,,,
Blaze ,Synthetic Cannabinoids ,,,,,,,
Blind Squid ,Ketamine (Ketalar®) ,,,,,,,
Bliss ,Synthetic Cannabinoids, Synthetic Cathinones ,,,,,,
Blizzard ,Cocaine ,,,,,,,
Blocks ,Cocaine ,,,,,,,
Blonde ,Cocaine, Fentanyl and Fentanyl Derivatives ,,,,,,
Blondie ,Marijuana ,,,,,,,
Bloom ,Synthetic Cathinones ,,,,,,,
Blotter Acid ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Blotter Cube ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Blow ,Cocaine, Synthetic Cathinones ,,,,,,
Blow Dope ,Heroin ,,,,,,,
Blowcaine ,Crack Cocaine ,,,,,,,
Blowout ,Crack Cocaine, GHB (Gamma-Hydroxybutyric Acid) ,,,,,,
Blue ,Acetaminophen and Oxycodone Combination (Percocet®), Crack  ,,,,,,
Blue Acid ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Blue Barrel ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Blue Bell Ice Cream ,Methamphetamine ,,,,,,,
Blue Boys ,Amphetamine ,,,,,,,
Blue Caps ,Mescaline/Peyote ,,,,,,,
Blue Chair ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Blue Cheer ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Blue Cheese ,Marijuana, Synthetic Cannabinoids ,,,,,,
Blue Crush ,Marijuana ,,,,,,,
Blue Diamond ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Blue Dolphin ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Blue Dream ,Marijuana ,,,,,,,
Blue Dynamite ,Acetaminophen and Oxycodone Combination (Percocet®) ,,,,,,,
Blue Heaven ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Blue Hero ,Heroin ,,,,,,,
Blue Jeans ,Marijuana ,,,,,,,
Blue Kisses ,Ecstasy/MDMA/Molly ,,,,,,,
Blue Madman ,PCP (Phencyclidine) ,,,,,,,
Blue Meanies ,Psilocybin Mushrooms ,,,,,,,
Blue Microdots ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Blue Mist ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Blue Moon ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Blue Sage ,Marijuana ,,,,,,,
Blue Silk ,Synthetic Cathinones ,,,,,,,
Blue Sky ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Blue Star ,LSD (Lysergic Acid Diethylamide), PCP (Phencyclidine) ,,,,,,
Blue Superman ,Ecstasy/MDMA/Molly ,,,,,,,
Blue Tabs ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Blueberries ,Acetaminophen and Oxycodone Combination (Percocet®) ,,,,,,,
Blueberry ,Marijuana ,,,,,,,
Blues ,Fentanyl and Fentanyl Derivatives," Oxycodone (Oxycontin®,  ",,,,,,
BMV ,Cocaine ,,,,,,,
Board ,Cocaine ,,,,,,,
Boat ,PCP (Phencyclidine) ,,,,,,,
Bobo ,Cocaine, Crack Cocaine ,,,,,,
Bobo Bush ,Marijuana ,,,,,,,
Bolitas ,Cocaine ,,,,,,,
"Bolivian Marching  
Powder ",Cocaine ,,,,,,,
Bolo ,Crack Cocaine ,,,,,,,
Bomb ,Crack Cocaine ,,,,,,,
Bomba ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Bombay Blue ,Synthetic Cannabinoids ,,,,,,,
Bombita ,Amphetamine, Heroin mixed with Cocaine ,,,,,,
Bombs ,Ecstasy/MDMA/Molly ,,,,,,,
Bombs Away ,Heroin ,,,,,,,
Bone  ,Crack Cocaine ,,,,,,,
Bone Crusher ,Crack Cocaine ,,,,,,,
Bonita ,Heroin ,,,,,,,
Boo ,Marijuana ,,,,,,,
Boo-Boo ,Crack Cocaine ,,,,,,,
Boom ,Marijuana ,,,,,,,
Boomers ,Psilocybin Mushrooms ,,,,,,,
Booty Juice ,Ecstasy/MDMA/Molly dissolved in liquid ,,,,,,,
